SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,avg_monthly_to_total_ratio,services_count,high_value_at_risk,support_bundle
0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,False,False,False,False,False,False,True,False,0,0.9675850891410048,1,0,0
0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,True,False,False,True,False,False,False,True,2,0.03012430573922243,3,0,0
0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,True,False,False,False,False,False,False,True,0,0.4933577645442052,3,0,0
0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,True,False,False,True,False,False,False,False,2,0.022967286548119994,3,0,0
0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,False,True,False,False,False,False,True,False,0,0.46315099901735995,1,1,0
0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,False,True,False,False,False,False,True,False,0,0.12130249543517956,4,1,0
0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,True,True,False,False,False,True,False,False,1,0.04568293683347005,3,1,0
0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,False,False,False,False,False,False,False,True,0,0.09821723341036646,1,0,0
0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,False,True,False,False,False,False,True,False,2,0.03439392199012159,5,1,0
0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,True,False,False,True,False,False,False,False,3,0.01609366714914229,3,0,0
0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,True,False,False,False,False,False,False,True,1,0.0848840173336732,2,0,0
0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,True,False,True,False,True,True,False,False,1,0.05780964002440512,1,0,0
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,True,True,False,True,False,True,False,False,3,0.017660724028088205,4,0,0
0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,True,True,False,False,False,False,False,False,3,0.020586425267504416,5,1,0
0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,True,True,False,False,False,False,True,False,2,0.03926238812080162,6,1,0
0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,False,True,False,False,True,True,False,False,3,0.014342432704545887,7,0,1
0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,False,False,True,True,False,False,False,True,3,0.020167000341813564,1,0,0
0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,True,True,False,False,True,False,False,False,3,0.01445163037957539,5,0,0
0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,False,False,False,False,False,True,False,False,0,0.10427883253046188,3,0,0
0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,False,True,False,False,False,False,True,False,1,0.04831267771876173,4,1,0
1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,True,False,False,False,False,False,True,False,0,0.97539975399754,2,0,0
0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,True,False,True,True,False,False,False,False,0,0.0974169741697417,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,True,False,True,False,False,False,False,True,0,0.9527186761229315,1,0,0
0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,False,False,False,False,True,True,False,False,3,0.017084509854254016,3,0,1
0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,True,False,False,False,False,True,False,False,3,0.020058560226163633,4,0,1
0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,False,False,False,False,False,False,False,False,2,0.03610603290676417,3,0,0
0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,True,True,False,False,False,False,True,False,2,0.020915128995926444,4,1,0
0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,True,False,False,False,False,False,True,False,0,0.967948717948718,1,0,0
0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,True,False,False,False,True,True,False,False,3,0.014166974075614753,7,0,1
0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,False,False,False,False,False,False,False,True,1,0.05913536239831826,3,0,0
1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,False,True,False,False,True,True,False,False,3,0.014236216284103754,5,0,1
